CouponTime,CouponId,Category,ATP,Day,TimePoint,WetCycling,Material,WetMat,Sample,Materials,RH,Objects/mL,gDNA well,gDNA plate
1.T0,1,MDF,2,0,Cntrl,Wet,Medium Density Fiberboard,,0.1,FB,WET,,G1,7
5.T0,5,MDF,5,0,Cntrl,Wet,Medium Density Fiberboard,,0.2,FB,WET,,G2,7
11.T0,11,MDF,5,0,Cntrl,Cycling,Medium Density Fiberboard,,0.3,FB,CYC,,G3,7
15.T0,15,MDF,4,0,Cntrl,Cycling,Medium Density Fiberboard,,0.4,FB,CYC,,G4,7
21.T0,21,OSB,4,0,Cntrl,Wet,Oreiented Strand Board,,0.5,OSB,WET,,G5,7
22.T0,22,OSB,6,0,Cntrl,Wet,Oreiented Strand Board,,0.6,OSB,WET,,G6,7
31.T0,31,OSB,4,0,Cntrl,Cycling,Oreiented Strand Board,,0.7,OSB,CYC,,G7,7
33.T0,33,OSB,6,0,Cntrl,Cycling,Oreiented Strand Board,,0.8,OSB,CYC,,G8,7
41.T0,41,GW,1,0,Cntrl,Wet,Gypsum,,0.9,GW,WET,,G9,7
45.T0,45,GW,3,0,Cntrl,Wet,Gypsum,,0.1,GW,WET,,G10,7
51.T0,51,GW,1,0,Cntrl,Cycling,Gypsum,,0.11,GW,CYC,,G11,7
55.T0,55,GW,1,0,Cntrl,Cycling,Gypsum,,0.12,GW,CYC,,G12,7
1.T1,1,MDF,496,7,0,Wet,Medium Density Fiberboard,,1.1,FB,WET,4148000,A1,1
2.T1,2,MDF,43,7,0,Wet,Medium Density Fiberboard,,1.2,FB,WET,,A2,1
3.T1,3,MDF,63,7,0,Wet,Medium Density Fiberboard,,1.3,FB,WET,3721000,A3,1
4.T1,4,MDF,111,7,0,Wet,Medium Density Fiberboard,,1.4,FB,WET,,A4,1
5.T1,5,MDF,61,7,0,Wet,Medium Density Fiberboard,,1.5,FB,WET,,A5,1
6.T1,6,MDF,147,7,0,Wet,Medium Density Fiberboard,,1.6,FB,WET,,A6,1
