CouponTime,CouponId,Category,ATP,Day,TimePoint,WetCycling,Material,WetMat,Sample,Materials,RH,Objects/mL,Objects/cm2,gDNA well,gDNA plate,spore_density,hyphae_length
1.T0,1,MDF,2,0,Cntrl,Wet,Medium Density Fiberboard,,0.1,MDF,WET,,,F1,7,,
5.T0,5,MDF,5,0,Cntrl,Wet,Medium Density Fiberboard,,0.2,MDF,WET,,,F2,7,,
11.T0,11,MDF,5,0,Cntrl,Cycling,Medium Density Fiberboard,,0.3,MDF,CYC,,,F3,7,,
15.T0,15,MDF,4,0,Cntrl,Cycling,Medium Density Fiberboard,,0.4,MDF,CYC,,,F4,7,,
21.T0,21,OSB,4,0,Cntrl,Wet,Oreiented Strand Board,,0.5,OSB,WET,,,F5,7,,
22.T0,22,OSB,6,0,Cntrl,Wet,Oreiented Strand Board,,0.6,OSB,WET,,,F6,7,,
31.T0,31,OSB,4,0,Cntrl,Cycling,Oreiented Strand Board,,0.7,OSB,CYC,,,F7,7,,
33.T0,33,OSB,6,0,Cntrl,Cycling,Oreiented Strand Board,,0.8,OSB,CYC,,,F8,7,,
41.T0,41,GW,1,0,Cntrl,Wet,Gypsum,,0.9,GW,WET,,,F9,7,,
45.T0,45,GW,3,0,Cntrl,Wet,Gypsum,,0.1,GW,WET,,,F10,7,,
51.T0,51,GW,1,0,Cntrl,Cycling,Gypsum,,0.11,GW,CYC,,,F11,7,,
55.T0,55,GW,1,0,Cntrl,Cycling,Gypsum,,0.12,GW,CYC,,,F12,7,,
1.T1,1,MDF,496,7,0,Wet,Medium Density Fiberboard,,1.1,MDF,WET,4148000,41480,A1,1,406.669,0
2.T1,2,MDF,43,7,0,Wet,Medium Density Fiberboard,,1.2,MDF,WET,,,A2,1,,
3.T1,3,MDF,63,7,0,Wet,Medium Density Fiberboard,,1.3,MDF,WET,3721000,37210,A3,1,490.35,0
4.T1,4,MDF,111,7,0,Wet,Medium Density Fiberboard,,1.4,MDF,WET,,,A4,1,,
5.T1,5,MDF,61,7,0,Wet,Medium Density Fiberboard,,1.5,MDF,WET,,,A5,1,,
6.T1,6,MDF,147,7,0,Wet,Medium Density Fiberboard,,1.6,MDF,WET,,,A6,1,,
7.T1,7,MDF,447,7,0,Wet,Medium Density Fiberboard,,1.7,MDF,WET,2218182,22181.82,A7,1,404.29,0
8.T1,8,MDF,249,7,0,Wet,Medium Density Fiberboard,,1.8,MDF,WET,,,A8,1,,
9.T1,9,MDF,150,7,0,Wet,Medium Density Fiberboard,,1.9,MDF,WET,1891000,18910,A9,1,496.109,0
10.T1,10,MDF,257,7,0,Wet,Medium Density Fiberboard,,1.1,MDF,WET,,,A10,1,,
11.T1,11,MDF,154,7,0,Cycling,Medium Density Fiberboard,,1.11,MDF,CYC,1159000,11590,A11,1,223.641,0
12.T1,12,MDF,336,7,0,Cycling,Medium Density Fiberboard,,1.12,MDF,CYC,,,A12,1,,
13.T1,13,MDF,894,7,0,Cycling,Medium Density Fiberboard,,1.13,MDF,CYC,3050000,30500,B1,1,315.186,0
14.T1,14,MDF,213,7,0,Cycling,Medium Density Fiberboard,,1.14,MDF,CYC,,,B2,1,,
15.T1,15,MDF,28,7,0,Cycling,Medium Density Fiberboard,,1.15,MDF,CYC,3599000,35990,B3,1,432.647,0
16.T1,16,MDF,4,7,0,Cycling,Medium Density Fiberboard,,1.16,MDF,CYC,,,B4,1,,
17.T1,17,MDF,14,7,0,Cycling,Medium Density Fiberboard,,1.17,MDF,CYC,8174000,81740,B5,1,326.186,0
18.T1,18,MDF,267,7,0,Cycling,Medium Density Fiberboard,,1.18,MDF,CYC,,,B6,1,,
19.T1,19,MDF,97,7,0,Cycling,Medium Density Fiberboard,,1.19,MDF,CYC,5978000,59780,B7,1,521.855,0
20.T1,20,MDF,194,7,0,Cycling,Medium Density Fiberboard,,1.2,MDF,CYC,,,B8,1,,
21.T1,21,OSB,2849,7,0,Wet,Oreiented Strand Board,,1.21,OSB,WET,,,B9,1,53.854,68.103
22.T1,22,OSB,19,7,0,Wet,Oreiented Strand Board,,1.22,OSB,WET,,,B10,1,,
23.T1,23,OSB,728,7,0,Wet,Oreiented Strand Board,,1.23,OSB,WET,25925000,259250,B11,1,117.236,0
24.T1,24,OSB,11,7,0,Wet,Oreiented Strand Board,,1.24,OSB,WET,,,B12,1,,
25.T1,25,OSB,17,7,0,Wet,Oreiented Strand Board,,1.25,OSB,WET,66734000,667340,C1,1,76.189,0
