Domain	Phlyum	Class	Order	Family	Genus	Species	1.T0	1.T1	1.T2	1.T3	1.T4	11.T0	11.T1	11.T2	11.T3	11.T4	13.T1	13.T2	13.T3	13.T4	15.T0	15.T1	15.T2	15.T3	15.T4	17.T1	17.T2	17.T3	17.T4	19.T1	19.T2	19.T3	19.T4	21.T0	21.T1	21.T2	21.T3	21.T4	22.T0	23.T1	23.T2	23.T4	25.T1	25.T2	25.T3	25.T4	27.T1	27.T2	27.T3	27.T4	29.T1	29.T2	29.T3	29.T4	3.T1	3.T2	3.T3	3.T4	31.T0	31.T1	31.T2	31.T3	31.T4	33.T0	33.T1	33.T2	33.T3	33.T4	35.T1	35.T2	35.T3	35.T4	37.T1	37.T3	37.T4	38.T2	39.T1	39.T2	39.T3	39.T4	41.T0	41.T1	41.T2	41.T3	41.T4	42.T2	43.T1	43.T3	43.T4	45.T0	45.T1	45.T2	45.T3	45.T4	47.T1	47.T2	47.T3	47.T4	49.T1	49.T3	49.T4	5.T0	5.T1	5.T2	5.T3	5.T4	50.T2	51.T0	51.T1	51.T2	51.T3	51.T4	53.T1	53.T2	53.T3	53.T4	55.T0	55.T1	55.T2	55.T3	55.T4	57.T1	57.T2	57.T3	57.T4	59.T1	59.T2	59.T3	59.T4	7.T1	7.T2	7.T3	7.T4	9.T1	9.T2	9.T3	9.T4	N1	P1	P2
Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_brevicompactum	281.0	11181.0	250.0	31357.0	36644.0	355.0	4658.0	56415.0	69416.0	39111.0	28996.0	53058.0	18009.0	35192.0	973.0	7977.0	24519.0	11034.0	15077.0	6206.0	23597.0	12249.0	17171.0	18022.0	35633.0	104350.0	65083.0	377.0	1358.0	26957.0	4093.0	7517.0	815.0	1651.0	1566.0	6691.0	1042.0	18078.0	7066.0	6388.0	2460.0	1898.0	4823.0	2867.0	10893.0	10129.0	11710.0	12027.0	9266.0	56574.0	57013.0	13911.0	1256.0	601.0	896.0	1408.0	846.0	698.0	896.0	786.0	4934.0	754.0	1612.0	347.0	333.0	8397.0	8583.0	335.0	1128.0	43740.0	1987.0	50405.0	11516.0	1696.0	3353.0	4042.0	2239.0	4637.0	718.0	8347.0	25677.0	2957.0	11901.0	3594.0	11022.0	85.0	1647.0	883.0	14703.0	12464.0	5647.0	2493.0	19434.0	3750.0	6170.0	4815.0	10226.0	32110.0	12363.0	32701.0	25999.0	270.0	11933.0	8715.0	3025.0	874.0	20474.0	2611.0	5120.0	2519.0	1180.0	18183.0	7825.0	11947.0	1310.0	35726.0	24627.0	8117.0	4199.0	13806.0	8048.0	9546.0	2585.0	7243.0	34569.0	10378.0	56696.0	21305.0	63105.0	92020.0	58149.0	98.0	450.0	3022.0
Fungi							13.0	125.0	60782.0	0.0	6289.0	0.0	299.0	641.0	32.0	205.0	217.0	247.0	91.0	185.0	40.0	6.0	74.0	0.0	14349.0	1169.0	0.0	0.0	0.0	1516.0	0.0	102.0	123.0	192.0	132.0	325.0	0.0	0.0	503.0	0.0	2805.0	644.0	27.0	561.0	421.0	3596.0	952.0	0.0	70.0	93.0	689.0	6.0	394.0	0.0	3745.0	19.0	0.0	0.0	0.0	0.0	15.0	31.0	218.0	0.0	20.0	473.0	31.0	0.0	2.0	7000.0	0.0	21.0	101.0	0.0	9.0	23.0	607.0	15.0	6.0	98.0	70.0	338.0	6.0	0.0	3791959.0	30536.0	0.0	20.0	84.0	28.0	0.0	4761.0	0.0	0.0	51.0	2354.0	0.0	355.0	82.0	0.0	11.0	177.0	232.0	20200.0	5.0	0.0	0.0	15851.0	4637.0	17.0	0.0	656.0	0.0	143.0	1068.0	0.0	85.0	5.0	0.0	921.0	33.0	1020.0	5.0	23.0	4.0	8204.0	0.0	2.0	5839.0	232.0	0.0	0.0	363.0	2.0	0.0	60.0	32745.0	0.0	0.0	6.0
Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_tenuissimum	73.0	1905.0	526.0	414.0	378.0	123.0	5213.0	1348.0	408.0	746.0	1282.0	396.0	16239.0	1179.0	1454.0	338.0	950.0	314.0	1086.0	480.0	549.0	1141.0	808.0	2799.0	340.0	627.0	1108.0	179.0	729.0	1932.0	680.0	2699.0	1403.0	359.0	343.0	1069.0	5608.0	20850.0	6069.0	52625.0	512.0	300.0	382.0	690.0	10130.0	1085.0	9888.0	5432.0	2478.0	1640.0	565.0	247.0	381.0	35873.0	480.0	3248.0	13000.0	304.0	409.0	5982.0	1280.0	16053.0	12571.0	5203.0	3848.0	57119.0	56962.0	418.0	5206.0	22717.0	1544.0	1584.0	31637.0	4680.0	12233.0	8212.0	10713.0	9507.0	1841.0	4505.0	7138.0	2574.0	3259.0	13221.0	4521.0	33.0	2022.0	13063.0	17541.0	5805.0	6161.0	1520.0	6860.0	15331.0	9316.0	1287.0	256.0	442.0	304.0	300.0	9811.0	160.0	15468.0	17731.0	21946.0	4568.0	7220.0	4419.0	11581.0	7090.0	1019.0	3353.0	41425.0	48423.0	8650.0	3330.0	22274.0	12820.0	16555.0	8790.0	11414.0	41979.0	34423.0	1842.0	593.0	951.0	20054.0	1821.0	597.0	729.0	922.0	18.0	167.0	2223.0
Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_unguis	33.0	201.0	71.0	239.0	210.0	57.0	82.0	1110.0	318.0	1894.0	2812.0	1993.0	1778.0	3958.0	56.0	4067.0	58979.0	44703.0	32845.0	2611.0	17333.0	323.0	140.0	24206.0	192.0	547.0	382.0	261.0	213.0	381.0	418.0	200.0	271.0	269.0	229.0	581.0	97.0	2171.0	826.0	462.0	9852.0	3990.0	4199.0	4298.0	170.0	774.0	509.0	702.0	7481.0	4038.0	14836.0	3659.0	216.0	170.0	18342.0	201.0	178.0	116.0	42.0	278.0	251.0	353.0	435.0	498.0	83.0	761.0	246.0	139.0	144.0	320.0	549.0	447.0	348.0	830.0	309.0	473.0	4231.0	1620.0	277.0	890.0	4256.0	3621.0	1206.0	3428.0	185.0	20.0	3248.0	1777.0	454.0	622.0	290.0	206.0	1674.0	715.0	533.0	329.0	106.0	263.0	6323.0	317.0	359.0	40.0	1947.0	266.0	175.0	48.0	805.0	291.0	499.0	106.0	166.0	745.0	335.0	590.0	77.0	411.0	382.0	729.0	285.0	5081.0	2182.0	4391.0	1970.0	6121.0	61793.0	30311.0	38324.0	135.0	307.0	533.0	387.0	9.0	113.0	362.0
Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_corylophilum	105.0	836.0	174.0	988.0	568.0	152.0	1516.0	2515.0	433.0	921.0	601.0	477.0	456.0	488.0	215.0	1591.0	1150.0	760.0	1099.0	1096.0	8514.0	8953.0	321.0	2000.0	306.0	1126.0	591.0	49.0	440.0	3916.0	7712.0	13088.0	374.0	457.0	4766.0	12462.0	221.0	5101.0	347.0	425.0	24680.0	2697.0	7403.0	7874.0	10035.0	5415.0	49248.0	23897.0	487.0	653.0	669.0	392.0	244.0	256.0	13021.0	592.0	271.0	480.0	283.0	371.0	11516.0	3637.0	352.0	183.0	121.0	11918.0	14158.0	340.0	23750.0	5180.0	690.0	934.0	28671.0	1956.0	2992.0	1973.0	8035.0	759.0	987.0	1954.0	5569.0	603.0	1368.0	9345.0	2791.0	18.0	4123.0	4279.0	1171.0	3221.0	4190.0	1833.0	1627.0	3037.0	6168.0	3496.0	377.0	401.0	1023.0	388.0	5022.0	204.0	3988.0	3924.0	1571.0	818.0	1221.0	639.0	729.0	321.0	639.0	2533.0	2441.0	5736.0	939.0	7202.0	5139.0	5391.0	3914.0	3188.0	3660.0	6449.0	2258.0	885.0	474.0	1333.0	18242.0	1583.0	541.0	956.0	827.0	38.0	23952.0	5227.0
Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_glabrum	98.0	935.0	236.0	327.0	337.0	91.0	447.0	154.0	371.0	325.0	509.0	290.0	1075.0	1067.0	409.0	1242.0	386.0	326.0	0.0	799.0	281.0	3693.0	799.0	1786.0	239.0	728.0	656.0	100.0	246.0	380.0	292.0	570.0	347.0	377.0	247.0	26.0	109.0	3589.0	1317.0	8775.0	349.0	295.0	547.0	1272.0	256.0	3571.0	1185.0	2609.0	331.0	1251.0	665.0	213.0	84.0	3147.0	1054.0	98.0	15235.0	116.0	142.0	9400.0	4703.0	21423.0	1006.0	6784.0	10676.0	508.0	832.0	78.0	246.0	897.0	270.0	643.0	512.0	447.0	4996.0	20319.0	25985.0	7294.0	96.0	451.0	7433.0	316.0	760.0	603.0	1324.0	16.0	237.0	210.0	16400.0	8962.0	23290.0	5085.0	12884.0	12710.0	20472.0	1618.0	142.0	318.0	222.0	274.0	330.0	38.0	10890.0	6515.0	2312.0	1264.0	15754.0	1831.0	1997.0	836.0	396.0	459.0	8432.0	1109.0	101.0	4151.0	13031.0	2826.0	6345.0	6292.0	5456.0	3465.0	2598.0	677.0	398.0	728.0	9334.0	196.0	843.0	2408.0	1462.0	17.0	141.0	36159.0
Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		933.0	573.0	265.0	563.0	696.0	1802.0	1720.0	3707.0	662.0	808.0	9351.0	1183.0	1063.0	2699.0	381.0	1743.0	598.0	839.0	1796.0	1124.0	361.0	3031.0	225.0	2598.0	643.0	996.0	649.0	100.0	27119.0	7558.0	7033.0	4299.0	381.0	57322.0	26685.0	18301.0	803.0	5014.0	628.0	375.0	696.0	1021.0	989.0	760.0	458.0	1985.0	1443.0	3571.0	1384.0	7713.0	2509.0	409.0	140.0	5799.0	2039.0	10581.0	4423.0	403.0	487.0	6496.0	3720.0	233.0	794.0	188.0	3368.0	1258.0	1831.0	269.0	405.0	3043.0	20502.0	1169.0	3385.0	4643.0	3098.0	1018.0	3026.0	916.0	2417.0	25236.0	5058.0	1280.0	640.0	4565.0	7788.0	21.0	1430.0	2593.0	1133.0	3155.0	608.0	632.0	512.0	2377.0	1259.0	1369.0	6238.0	15116.0	8693.0	19365.0	3473.0	648.0	13281.0	4432.0	2457.0	232.0	7496.0	4039.0	1409.0	1606.0	1342.0	628.0	3515.0	800.0	57.0	18290.0	16652.0	3960.0	3080.0	1993.0	712.0	1100.0	1047.0	1104.0	539.0	8914.0	16935.0	469.0	783.0	1296.0	1288.0	63.0	159.0	678.0
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria_angustiovoidea	66.0	97.0	24.0	73.0	93.0	109.0	3543.0	229.0	127.0	181.0	2268.0	136.0	12073.0	290.0	530.0	44.0	203.0	501.0	231.0	201.0	88.0	85.0	69.0	887.0	160.0	198.0	191.0	328.0	146.0	234.0	767.0	109.0	164.0	107.0	1005.0	13339.0	494.0	2214.0	3552.0	30462.0	137.0	122.0	1756.0	410.0	214.0	0.0	730.0	2571.0	326.0	153.0	252.0	86.0	118.0	4346.0	204.0	59.0	31015.0	89.0	110.0	20813.0	83.0	89.0	210.0	44.0	3637.0	245.0	348.0	0.0	2717.0	183.0	198.0	332.0	186.0	114.0	33962.0	325.0	1253.0	240.0	83.0	324.0	1543.0	3299.0	1474.0	1363.0	1584.0	0.0	236.0	158.0	179.0	195.0	155.0	98.0	728.0	995.0	3738.0	128.0	4097.0	524.0	78.0	224.0	104.0	92.0	630.0	2089.0	7452.0	6924.0	125.0	380.0	299.0	2147.0	580.0	190.0	13696.0	2267.0	192.0	844.0	7576.0	7657.0	46165.0	228.0	161.0	693.0	6009.0	290.0	233.0	377.0	5572.0	761.0	126.0	364.0	731.0	9.0	5920.0	335.0
Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_astellatus	0.0	5311.0	208.0	84.0	96.0	43.0	2015.0	338.0	148.0	237.0	4931.0	129.0	199.0	278.0	469.0	648.0	205.0	109.0	416.0	835.0	371.0	197.0	138.0	708.0	100.0	226.0	194.0	67.0	149.0	1381.0	529.0	5798.0	166.0	138.0	103.0	236.0	53.0	619.0	271.0	1555.0	220.0	139.0	88.0	139.0	4776.0	374.0	338.0	10991.0	147.0	285.0	205.0	114.0	106.0	175.0	205.0	815.0	100.0	108.0	61.0	251.0	202.0	124.0	525.0	22.0	79.0	202.0	130.0	22.0	70.0	149.0	960.0	399.0	123.0	2025.0	4317.0	793.0	6151.0	123.0	796.0	933.0	195.0	1080.0	1325.0	3203.0	476.0	11.0	14550.0	10631.0	4417.0	10742.0	8940.0	16140.0	2112.0	3907.0	9945.0	168.0	58.0	124.0	82.0	131.0	1384.0	154.0	728.0	5406.0	4263.0	256.0	249.0	672.0	7227.0	728.0	397.0	351.0	13381.0	37457.0	844.0	1268.0	5280.0	5322.0	5647.0	166.0	558.0	1644.0	1059.0	1135.0	231.0	207.0	8044.0	1167.0	153.0	415.0	343.0	0.0	49.0	840.0
Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor_racemosus	10.0	58.0	709.0	61.0	38.0	6.0	19.0	124.0	72.0	156.0	281.0	138.0	17798.0	130.0	14.0	17.0	84.0	41.0	58.0	13.0	35.0	38.0	115.0	160.0	48.0	107.0	90.0	11.0	68.0	134.0	33.0	36.0	33.0	63.0	55.0	84.0	32841.0	85979.0	10663.0	19450.0	97.0	117.0	24.0	49.0	46.0	38.0	129.0	111.0	57.0	131.0	95.0	49.0	51.0	44.0	101.0	23.0	70.0	46.0	12.0	31.0	36.0	47.0	63.0	15.0	16.0	156.0	8277.0	45.0	46.0	60.0	71.0	183.0	96.0	55.0	166.0	65.0	69.0	18.0	56.0	79.0	53.0	17.0	51.0	415.0	611.0	5.0	45.0	53.0	79.0	99.0	75.0	84.0	2169.0	59.0	116.0	42.0	35.0	100.0	32.0	58.0	63.0	28.0	101.0	59.0	55.0	20.0	56.0	54.0	43.0	19.0	357.0	59.0	89.0	129.0	29.0	86.0	106.0	90.0	83.0	57.0	29.0	82.0	72.0	127.0	98.0	177.0	5630.0	39.0	83.0	115.0	93.0	0.0	26.0	52.0
