CouponTime	chao1
1.T0	11.0
1.T1	60.0
1.T3	25.0
1.T4	26.0
10.T3	26.0
10.T4	14.0
11.T0	9.0
11.T1	10.0
12.T1	88.66666666666667
12.T3	78.0
13.T1	36.0
13.T3	37.5
13.T4	41.0
15.T0	9.0
15.T3	64.0
16.T3	13.0
16.T4	19.0
17.T3	50.0
19.T3	12.0
2.T1	17.0
2.T2	89.66666666666667
2.T3	46.0
2.T4	61.0
21.T3	38.0
21.T4	80.54545454545455
22.T0	11.0
22.T2	58.5
22.T3	67.85714285714286
22.T4	90.42857142857143
23.T3	49.0
23.T4	93.11111111111111
24.T1	21.0
24.T2	31.0
24.T3	30.0
24.T4	86.25
25.T1	16.0
25.T2	54.333333333333336
25.T3	25.166666666666668
25.T4	56.625
26.T1	18.0
26.T4	56.0
27.T2	29.0
27.T3	46.333333333333336
27.T4	83.5
28.T3	65.16666666666667
28.T4	65.2
29.T3	17.0
29.T4	60.2
3.T4	28.0
30.T1	32.0
30.T3	56.0
30.T4	71.2
31.T0	12.0
31.T2	25.0
31.T3	27.0
31.T4	42.0
32.T2	21.5
32.T4	60.0
33.T4	23.0
34.T2	12.0
34.T4	25.0
35.T2	30.0
35.T4	62.333333333333336
36.T1	80.0
36.T2	79.0
36.T3	73.0
36.T4	47.0
37.T1	15.0
37.T2	25.0
37.T4	24.0
38.T1	21.0
38.T2	29.0
38.T3	43.0
38.T4	20.0
39.T2	37.0
39.T4	41.0
4.T2	66.0
40.T2	23.0
40.T3	31.0
40.T4	35.333333333333336
41.T1	25.0
41.T2	22.0
42.T1	25.0
42.T2	26.0
42.T3	44.166666666666664
42.T4	16.0
43.T1	20.0
43.T2	26.0
43.T3	37.0
43.T4	27.0
44.T2	38.0
44.T4	54.5
45.T0	15.0
45.T1	17.0
45.T3	26.0
45.T4	54.333333333333336
46.T2	13.0
46.T3	45.5
46.T4	58.75
47.T1	36.0
47.T2	31.0
47.T3	50.2
47.T4	19.0
48.T1	36.0
48.T2	84.75
48.T3	85.16666666666667
48.T4	20.0
49.T1	28.5
49.T2	45.333333333333336
49.T3	57.666666666666664
49.T4	25.0
50.T1	18.0
50.T2	25.0
50.T3	48.0
50.T4	24.0
51.T0	76.0
51.T1	18.0
51.T2	17.0
51.T3	48.0
51.T4	14.0
52.T1	15.0
52.T2	26.0
52.T3	51.0
53.T1	22.0
53.T2	30.0
53.T3	23.0
54.T1	14.0
54.T2	25.0
54.T3	19.0
55.T0	85.66666666666667
55.T1	13.0
55.T2	30.0
56.T1	19.0
56.T2	67.0
57.T2	90.14285714285714
57.T3	19.0
58.T1	81.0
58.T2	26.0
58.T4	29.0
59.T1	29.0
59.T2	82.5
59.T3	48.0
6.T4	35.0
60.T1	19.0
60.T2	94.11111111111111
60.T3	97.75
60.T4	60.0
7.T2	20.0
7.T3	39.0
7.T4	26.0
8.T1	20.0
8.T3	17.0
8.T4	20.0
9.T1	90.6
9.T2	55.0
9.T3	43.0
9.T4	29.333333333333332
