CouponTime	Chao1_ITS
1.T1	33.375
1.T2	34.5
1.T3	29.2
1.T4	23.5
11.T1	30.0
11.T2	36.2
11.T3	54.0
11.T4	39.6
13.T1	44.2
13.T2	30.5
13.T3	32.0
13.T4	34.666666666666664
15.T0	35.0
15.T1	31.0
15.T2	30.25
15.T3	40.0
15.T4	41.5
17.T1	37.6
17.T2	30.5
17.T3	34.333333333333336
17.T4	25.25
19.T1	61.5
19.T2	28.0
19.T3	38.0
19.T4	38.0
21.T1	33.0
21.T2	49.0
21.T3	29.0
21.T4	32.5
22.T0	35.0
23.T1	43.75
23.T2	40.0
23.T4	44.42857142857143
25.T1	33.0
25.T2	61.33333333333333
25.T3	37.6
25.T4	43.0
27.T1	41.6
27.T2	28.0
27.T3	33.42857142857143
27.T4	42.5
29.T1	26.333333333333332
29.T2	46.0
29.T3	54.0
29.T4	65.33333333333333
3.T1	32.0
3.T2	52.6
3.T3	36.5
3.T4	38.2
31.T1	33.666666666666664
31.T2	30.5
31.T3	25.5
31.T4	28.0
33.T2	45.2
33.T3	34.142857142857146
33.T4	28.333333333333332
35.T1	45.0
35.T2	19.0
35.T3	23.333333333333332
35.T4	50.5
37.T1	33.5
37.T4	27.5
38.T2	45.0
39.T1	33.5
39.T2	36.6
39.T3	35.0
39.T4	38.0
41.T0	48.0
41.T1	68.5
41.T2	71.0
41.T3	40.0
41.T4	26.0
42.T2	36.666666666666664
43.T1	33.875
43.T3	28.0
43.T4	32.5
45.T0	51.5
45.T1	51.0
45.T2	14.0
45.T3	29.5
45.T4	36.0
47.T1	48.2
47.T2	45.333333333333336
47.T3	39.0
47.T4	49.333333333333336
49.T1	38.25
49.T3	31.166666666666668
49.T4	40.0
5.T0	43.0
5.T1	30.0
5.T2	47.5
5.T3	27.75
5.T4	22.6
50.T2	39.0
51.T0	29.75
51.T1	38.75
51.T2	64.5
51.T3	52.0
51.T4	33.333333333333336
53.T1	38.2
53.T2	38.25
53.T3	38.75
53.T4	55.0
55.T0	36.6
55.T1	48.25
55.T2	55.75
55.T3	34.75
55.T4	43.0
57.T1	35.5
57.T2	51.0
57.T3	41.5
57.T4	37.0
59.T1	40.0
59.T2	42.2
59.T3	40.142857142857146
59.T4	50.0
7.T1	56.666666666666664
7.T2	30.5
7.T3	45.142857142857146
7.T4	69.85714285714286
9.T1	31.5
9.T2	40.0
9.T3	37.142857142857146
9.T4	37.0
