OTU_ID	EB29	EB30	EB31	EB32	EB33	EB34	EB35	EB36	EB37	EB38	EB39	EB40	kingdom	phylum	class	order	family	genus	species
116083	1212.0	786.0	2049.0	2031.0	2457.0	1996.0	1542.0	3406.0	3155.0	729.0	1968.0	2319.0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Unidentified	 Unidentified	 Unidentified	 Unidentified
152464	48.0	28.0	47.0	49.0	51.0	42.0	41.0	74.0	68.0	16.0	25.0	44.0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Pelagibacterales	 Unidentified	 Unidentified	 Unidentified
152465	847.0	462.0	1053.0	951.0	976.0	1152.0	1069.0	1636.0	2032.0	405.0	1142.0	1301.0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Pelagibacterales	 Pelagibacteraceae	 Unidentified	 Unidentified
152466	159585.0	94005.0	177855.0	203955.0	220120.0	225882.0	178938.0	292399.0	328924.0	77491.0	199975.0	213227.0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Pelagibacterales	 Pelagibacteraceae	 Pelagibacter	 Unidentified
217692	17621.0	9586.0	19759.0	18388.0	18347.0	23552.0	21162.0	30456.0	38463.0	8029.0	20923.0	21729.0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Pelagibacterales	 Pelagibacteraceae	 Pelagibacter_A	 Unidentified
253494	688.0	370.0	911.0	743.0	791.0	862.0	978.0	1435.0	1457.0	324.0	907.0	914.0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Pelagibacterales	 Pelagibacteraceae	 GCA-2689925	 Unidentified
211094	512.0	373.0	876.0	655.0	809.0	848.0	925.0	1396.0	1569.0	257.0	875.0	938.0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Pelagibacterales	 Pelagibacteraceae	 GCA-2704625	 Unidentified
225219	439.0	184.0	503.0	529.0	1275.0	548.0	466.0	676.0	712.0	125.0	451.0	426.0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Pelagibacterales	 Pelagibacteraceae	 HIMB114	 Unidentified
233378	287.0	186.0	312.0	300.0	332.0	480.0	454.0	687.0	946.0	141.0	441.0	409.0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Pelagibacterales	 Pelagibacteraceae	 MED727	 Unidentified
295831	224.0	111.0	278.0	236.0	250.0	259.0	282.0	425.0	438.0	97.0	256.0	259.0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Pelagibacterales	 Pelagibacteraceae	 TMED165	 Unidentified
246581	166.0	143.0	220.0	209.0	196.0	246.0	222.0	338.0	364.0	83.0	238.0	238.0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Pelagibacterales	 Pelagibacteraceae	 AG-414-E02	 Unidentified
172690	119.0	128.0	262.0	484.0	1066.0	146.0	150.0	208.0	200.0	66.0	146.0	152.0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Pelagibacterales	 Pelagibacteraceae	 Fonsibacter	 Unidentified
201077	86.0	53.0	77.0	65.0	78.0	90.0	87.0	111.0	157.0	43.0	88.0	97.0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Pelagibacterales	 Pelagibacteraceae	 MED-G40	 Unidentified
250741	55.0	49.0	61.0	54.0	68.0	64.0	56.0	100.0	121.0	30.0	58.0	76.0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Pelagibacterales	 Pelagibacteraceae	 AAA240-E13	 Unidentified
200037	54.0	49.0	65.0	63.0	67.0	64.0	68.0	98.0	97.0	28.0	49.0	58.0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Pelagibacterales	 Pelagibacteraceae	 GCA-002704185	 Unidentified
238722	51.0	34.0	58.0	54.0	66.0	83.0	75.0	101.0	116.0	19.0	92.0	71.0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Pelagibacterales	 Pelagibacteraceae	 IMCC9063	 Unidentified
305120	40.0	27.0	49.0	45.0	46.0	51.0	44.0	87.0	99.0	18.0	62.0	51.0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Pelagibacterales	 Pelagibacteraceae	 TMED170	 Unidentified
272411	33.0	15.0	39.0	27.0	33.0	30.0	29.0	46.0	52.0	11.0	35.0	34.0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Pelagibacterales	 Pelagibacteraceae	 CACNRH01	 Unidentified
249318	22.0	35.0	20.0	22.0	19.0	32.0	32.0	37.0	46.0	12.0	26.0	28.0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Pelagibacterales	 Pelagibacteraceae	 SYDM01	 Unidentified
280888	19.0	8.0	15.0	20.0	12.0	24.0	15.0	34.0	15.0	5.0	20.0	20.0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Pelagibacterales	 Pelagibacteraceae	 MED-G107	 Unidentified
283756	19.0	14.0	27.0	23.0	24.0	22.0	22.0	40.0	40.0	12.0	31.0	25.0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Pelagibacterales	 Pelagibacteraceae	 CACHRU01	 Unidentified
302830	11.0	2.0	6.0	9.0	7.0	8.0	11.0	13.0	16.0	2.0	9.0	7.0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Pelagibacterales	 Pelagibacteraceae	 CACIVM01	 Unidentified
262948	7.0	4.0	6.0	6.0	11.0	6.0	9.0	11.0	17.0	3.0	7.0	5.0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Pelagibacterales	 Pelagibacteraceae	 PRT-SC02	 Unidentified
287608	6.0	2.0	5.0	3.0	8.0	9.0	12.0	11.0	15.0	3.0	5.0	6.0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Pelagibacterales	 Pelagibacteraceae	 CABZZR01	 Unidentified
306497	6.0	6.0	7.0	6.0	3.0	9.0	10.0	12.0	13.0	0.0	7.0	5.0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Pelagibacterales	 Pelagibacteraceae	 CACCLK01	 Unidentified
324138	4.0	9.0	7.0	5.0	15.0	12.0	9.0	7.0	18.0	3.0	6.0	6.0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Pelagibacterales	 Pelagibacteraceae	 CACKTW01	 Unidentified
193377	27.0	27.0	21.0	27.0	18.0	22.0	26.0	38.0	38.0	8.0	23.0	22.0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Pelagibacterales	 AG-422-B15	 Unidentified	 Unidentified
227906	2240.0	1736.0	2305.0	2440.0	2127.0	2233.0	2365.0	3007.0	3007.0	833.0	1794.0	1776.0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Pelagibacterales	 AG-422-B15	 CABYIR01	 Unidentified
193378	2169.0	1726.0	2033.0	2162.0	2180.0	3433.0	3349.0	4624.0	4414.0	813.0	1886.0	1708.0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Pelagibacterales	 AG-422-B15	 AG-422-B15	 Unidentified
